NAME,Avg medium income,Avg medium income white,Avg medium income black
Alabama,45923.692307692305,52714.230769230766,30595.76923076923
Alaska,72937.0,79990.23076923077,57644.230769230766
Arizona,53781.46153846154,55778.38461538462,42979.61538461538
Arkansas,43304.769230769234,46789.0,28438.0
California,66837.84615384616,70020.61538461539,47127.07692307692
Colorado,63973.230769230766,66393.23076923077,44899.61538461538
Connecticut,72879.0,79056.38461538461,45642.230769230766
Delaware,62697.846153846156,67098.38461538461,47183.53846153846
District of Columbia,73158.23076923077,119188.61538461539,42085.230769230766
Florida,50777.846153846156,53625.153846153844,37474.46153846154
Georgia,53149.307692307695,60714.307692307695,39758.230769230766
Hawaii,72941.84615384616,72698.07692307692,64059.38461538462
Idaho,50732.307692307695,51435.692307692305,38128.46153846154
Illinois,60523.07692307692,65688.46153846153,36251.38461538462
Indiana,51660.846153846156,54354.07692307692,32309.076923076922
Iowa,54904.153846153844,56127.769230769234,29278.76923076923
Kansas,54367.153846153844,56330.769230769234,34630.846153846156
Kentucky,45828.307692307695,47400.61538461538,31783.23076923077
Louisiana,46417.46153846154,56328.307692307695,28875.615384615383
Maine,52003.307692307695,52530.07692307692,31973.0
Maryland,77532.92307692308,86042.53846153847,61555.61538461538
Massachusetts,72464.92307692308,76712.07692307692,46402.53846153846
Michigan,52256.53846153846,55844.769230769234,32304.23076923077
Minnesota,64133.0,66686.69230769231,32836.92307692308
Mississippi,41326.46153846154,51376.153846153844,27625.23076923077
Missouri,50662.153846153844,53541.38461538462,33760.692307692305
Montana,49362.692307692305,50677.61538461538,36573.38461538462
Nebraska,55211.92307692308,57182.07692307692,31182.30769230769
Nevada,56309.153846153844,59268.230769230766,40153.846153846156
New Hampshire,69659.0,69967.76923076923,51334.53846153846
New Jersey,75725.07692307692,81581.76923076923,49540.07692307692
New Mexico,46646.53846153846,49515.92307692308,40168.07692307692
New York,61924.46153846154,69170.07692307692,44195.230769230766
North Carolina,49694.153846153844,55360.92307692308,35124.38461538462
North Dakota,57053.07692307692,59355.07692307692,31325.53846153846
Ohio,51667.307692307695,55369.230769230766,30310.76923076923
Oklahoma,48108.846153846156,51301.38461538462,31964.846153846152
Oregon,55194.07692307692,56019.307692307695,35935.769230769234
Pennsylvania,55966.46153846154,59244.92307692308,34857.46153846154
Puerto Rico,19832.76923076923,20469.153846153848,19232.076923076922
Rhode Island,60528.53846153846,64701.61538461538,39402.692307692305
South Carolina,48077.46153846154,55660.153846153844,31760.46153846154
South Dakota,52606.307692307695,55044.38461538462,35287.230769230766
Tennessee,47803.61538461538,50967.46153846154,34538.230769230766
Texas,55567.692307692305,59086.846153846156,41278.230769230766
Utah,63729.307692307695,65337.846153846156,40297.0
Vermont,57055.153846153844,57483.61538461538,44000.38461538462
Virginia,67699.07692307692,72912.61538461539,46647.46153846154
Washington,65003.46153846154,66470.61538461539,46011.07692307692
West Virginia,42870.307692307695,43377.38461538462,29721.384615384617
Wisconsin,56105.692307692305,58552.846153846156,29089.30769230769
Wyoming,59457.46153846154,60508.846153846156,40386.46153846154
